"variable","odds_ratio"
"INV",3.47203909653749
"CD",3.42718697810082
"IRA",3.18480929516664
"MM",2.85028134777052
"SAV",1.83116721304778
"CC",1.78134696293535
"SDB",1.54965172135279
"MTG",1.06932924630364
"LOC",1.06483912145514
"HMOWN",1.00510676274812
"MOVED",0.840200501253134
"ILS",0.745185668117801
"DIRDEP",0.711949052059786
"ATM",0.592996640135991
"INAREA",0.574576792563469
"NSF",0.555484663307886
"DDA",0.375070326507152
