"variable","pval"
"CRSCORE",0.0992141673899856
"INCOME",0.019014987432738
"CCBAL",0.0183977122311467
"MTGBAL",0.0155754101069101
"LOCBAL",0.0148664264665773
"AGE",0.0139422615338358
"HMVAL",0.012699311250647
"LORES",0.0115727468149342
"ACCTAGE",0.0113943714893463
